#	"-B"
Geneid	Length
ENSMUSG00000079555.2	3871
ENSMUSG00000077454.1	103
ENSMUSG00000037235.11	8483
ENSMUSG00000106702.1	514
ENSMUSG00000037224.13	5756
ENSMUSG00000086291.1	1569
ENSMUSG00000106888.1	2022
ENSMUSG00000107006.1	459
ENSMUSG00000107287.1	462
ENSMUSG00000029110.11	7287
ENSMUSG00000037210.14	7418
ENSMUSG00000107227.1	3532
ENSMUSG00000098062.1	609
ENSMUSG00000106678.1	2409
ENSMUSG00000059866.11	2685
ENSMUSG00000054520.13	4296
ENSMUSG00000088332.1	105
ENSMUSG00000029106.12	8561
ENSMUSG00000099082.1	63
ENSMUSG00000107128.1	469
ENSMUSG00000001082.10	2894
ENSMUSG00000036693.10	2730
ENSMUSG00000085166.1	785
ENSMUSG00000052783.14	4829
ENSMUSG00000107246.1	1023
ENSMUSG00000080556.1	120
ENSMUSG00000029104.13	24438
ENSMUSG00000051246.2	2889
ENSMUSG00000029101.12	8272
ENSMUSG00000093097.1	67
ENSMUSG00000107040.1	468
ENSMUSG00000029102.7	3410
ENSMUSG00000044716.10	4275
ENSMUSG00000029103.14	4116
ENSMUSG00000045318.6	3445
ENSMUSG00000106762.1	2533
ENSMUSG00000055944.3	3776
ENSMUSG00000067438.5	1588
ENSMUSG00000103608.1	1240
ENSMUSG00000106970.1	455
ENSMUSG00000036596.6	2245
ENSMUSG00000106928.1	2705
ENSMUSG00000083907.2	1787
ENSMUSG00000106997.1	646
ENSMUSG00000029097.8	4044
ENSMUSG00000055061.5	2735
ENSMUSG00000029098.14	11521
ENSMUSG00000029096.13	4439
ENSMUSG00000036553.14	5735
ENSMUSG00000087703.1	770
ENSMUSG00000029095.15	7047
ENSMUSG00000029094.9	12650
ENSMUSG00000082692.2	295
ENSMUSG00000029093.12	8802
ENSMUSG00000043430.5	2548
ENSMUSG00000098884.1	59
ENSMUSG00000039563.6	2472
ENSMUSG00000029198.3	3528
ENSMUSG00000029196.9	3791
ENSMUSG00000050677.2	3585
ENSMUSG00000029192.15	9802
ENSMUSG00000106797.1	652
ENSMUSG00000029190.17	18420
ENSMUSG00000107168.1	2555
ENSMUSG00000089407.1	104
ENSMUSG00000089197.1	124
ENSMUSG00000060708.4	1273
ENSMUSG00000107081.1	391
ENSMUSG00000055302.5	1648
ENSMUSG00000029119.7	3528
ENSMUSG00000029120.8	4450
ENSMUSG00000087487.1	1491
ENSMUSG00000106934.1	150
ENSMUSG00000039474.11	3787
ENSMUSG00000063646.11	6688
ENSMUSG00000097686.1	1255
ENSMUSG00000088707.1	103
ENSMUSG00000107231.1	2878
ENSMUSG00000070823.4	1955
ENSMUSG00000029121.13	7046
ENSMUSG00000029122.9	7701
ENSMUSG00000107307.1	151
ENSMUSG00000050248.11	5837
ENSMUSG00000057290.5	480
ENSMUSG00000029123.8	3458
ENSMUSG00000062329.4	1056
ENSMUSG00000107131.1	683
ENSMUSG00000048450.10	3097
ENSMUSG00000106718.1	1850
ENSMUSG00000107126.1	2268
ENSMUSG00000107129.1	295
ENSMUSG00000029125.12	4593
ENSMUSG00000107276.1	1704
ENSMUSG00000029126.5	3215
ENSMUSG00000029127.13	8305
ENSMUSG00000067367.7	2401
ENSMUSG00000067365.8	3629
ENSMUSG00000051596.11	3442
ENSMUSG00000097029.2	2619
ENSMUSG00000039358.3	3152
ENSMUSG00000106932.1	295
ENSMUSG00000005107.11	5083
ENSMUSG00000089646.1	204
ENSMUSG00000005103.10	8899
ENSMUSG00000064419.1	136
ENSMUSG00000086422.1	399
ENSMUSG00000046572.8	6882
ENSMUSG00000077273.1	107
ENSMUSG00000039315.13	1719
ENSMUSG00000079528.7	439
ENSMUSG00000106924.1	339
ENSMUSG00000106794.1	485
ENSMUSG00000107031.1	553
ENSMUSG00000106876.1	457
ENSMUSG00000087845.2	246
ENSMUSG00000107030.1	899
ENSMUSG00000106851.1	1574
ENSMUSG00000106679.1	2214
ENSMUSG00000106741.1	1456
ENSMUSG00000077522.1	129
ENSMUSG00000107134.1	3418
ENSMUSG00000051022.7	2230
ENSMUSG00000083261.4	1194
ENSMUSG00000107070.1	2475
ENSMUSG00000082938.1	990
ENSMUSG00000089393.1	180
ENSMUSG00000106865.1	1665
ENSMUSG00000106895.1	809
ENSMUSG00000107135.1	469
ENSMUSG00000029128.10	4529
ENSMUSG00000049691.8	1718
ENSMUSG00000061755.8	11995
ENSMUSG00000107259.1	892
ENSMUSG00000098264.1	82
ENSMUSG00000106884.1	1276
ENSMUSG00000067285.4	2530
ENSMUSG00000106813.1	434
ENSMUSG00000106622.2	1206
ENSMUSG00000107193.1	316
ENSMUSG00000106501.1	2302
ENSMUSG00000105416.1	1629
ENSMUSG00000105087.1	4497
ENSMUSG00000085720.6	1433
ENSMUSG00000039782.12	7816
ENSMUSG00000105374.1	1573
ENSMUSG00000105326.1	1212
ENSMUSG00000104846.1	372
ENSMUSG00000107244.1	818
ENSMUSG00000104691.1	337
ENSMUSG00000061535.11	4162
ENSMUSG00000104547.1	4268
ENSMUSG00000087290.2	1373
ENSMUSG00000104912.1	2106
ENSMUSG00000039765.13	6809
ENSMUSG00000039753.14	9740
ENSMUSG00000104728.1	1363
ENSMUSG00000104823.1	2528
ENSMUSG00000106609.1	2072
ENSMUSG00000104701.1	1039
ENSMUSG00000029082.15	3317
ENSMUSG00000029084.5	3890
ENSMUSG00000086479.2	544
ENSMUSG00000087281.1	390
ENSMUSG00000033036.9	774
ENSMUSG00000093859.2	1762
ENSMUSG00000059565.4	580
ENSMUSG00000106573.1	547
ENSMUSG00000105831.1	542
ENSMUSG00000048373.8	2263
ENSMUSG00000029086.13	7175
ENSMUSG00000105264.1	2313
ENSMUSG00000072962.3	2074
ENSMUSG00000105048.1	1691
ENSMUSG00000105373.1	558
ENSMUSG00000105353.1	302
ENSMUSG00000105263.1	5292
ENSMUSG00000046985.9	4443
ENSMUSG00000105519.1	3459
ENSMUSG00000105503.1	687
ENSMUSG00000105149.1	815
ENSMUSG00000104784.1	987
ENSMUSG00000106394.1	762
ENSMUSG00000104541.1	343
ENSMUSG00000104923.1	637
ENSMUSG00000104800.1	923
ENSMUSG00000039706.9	3336
ENSMUSG00000105282.1	3252
ENSMUSG00000105136.1	903
ENSMUSG00000106332.1	753
ENSMUSG00000105648.1	139
ENSMUSG00000105861.1	3783
ENSMUSG00000104894.2	2086
ENSMUSG00000104990.1	2038
ENSMUSG00000105347.1	3408
ENSMUSG00000105224.1	1217
ENSMUSG00000104851.1	2217
ENSMUSG00000106603.1	2594
ENSMUSG00000106656.1	353
ENSMUSG00000062496.7	2263
ENSMUSG00000067331.5	234
ENSMUSG00000029092.7	4775
ENSMUSG00000104781.1	669
ENSMUSG00000105247.1	3656
ENSMUSG00000015806.10	1788
ENSMUSG00000105255.1	338
ENSMUSG00000049530.6	944
ENSMUSG00000039682.10	3098
ENSMUSG00000015804.12	5011
ENSMUSG00000015879.8	8598
ENSMUSG00000105745.1	2040
ENSMUSG00000104837.1	1502
ENSMUSG00000097825.3	4765
ENSMUSG00000105634.1	625
ENSMUSG00000104665.1	2655
ENSMUSG00000104986.1	1007
ENSMUSG00000015880.11	7066
ENSMUSG00000015882.15	18855
ENSMUSG00000104342.1	2028
ENSMUSG00000104852.1	3416
ENSMUSG00000101587.2	877
ENSMUSG00000105457.1	2161
ENSMUSG00000105459.1	1123
ENSMUSG00000106602.1	585
ENSMUSG00000067321.5	271
ENSMUSG00000106875.1	1213
ENSMUSG00000107113.1	1854
ENSMUSG00000104660.1	945
ENSMUSG00000106402.1	805
ENSMUSG00000105616.1	448
ENSMUSG00000105994.1	331
ENSMUSG00000031558.13	25433
ENSMUSG00000092309.2	478
ENSMUSG00000092559.1	263
ENSMUSG00000106214.1	2597
ENSMUSG00000105502.1	1613
ENSMUSG00000105184.1	2574
ENSMUSG00000065603.1	110
ENSMUSG00000105086.1	1754
ENSMUSG00000106604.1	1399
ENSMUSG00000029089.6	9317
ENSMUSG00000029088.14	3627
ENSMUSG00000105653.1	2598
ENSMUSG00000093502.2	2206
ENSMUSG00000105574.1	2485
ENSMUSG00000093748.1	1365
ENSMUSG00000105530.1	3802
ENSMUSG00000105454.1	1067
ENSMUSG00000105958.1	2270
ENSMUSG00000106404.1	1284
ENSMUSG00000106408.1	2409
ENSMUSG00000106414.1	2916
ENSMUSG00000057577.2	372
ENSMUSG00000103544.2	3787
ENSMUSG00000105974.1	1949
ENSMUSG00000105791.1	1308
ENSMUSG00000106469.1	828
ENSMUSG00000104655.1	2544
ENSMUSG00000105332.1	1295
ENSMUSG00000104929.1	1332
ENSMUSG00000106244.1	2451
ENSMUSG00000105620.1	3460
ENSMUSG00000104562.1	632
ENSMUSG00000104661.1	2897
ENSMUSG00000105922.1	1659
ENSMUSG00000105983.1	4155
ENSMUSG00000105828.1	388
ENSMUSG00000106579.1	2486
ENSMUSG00000105700.1	3041
ENSMUSG00000093490.2	313
ENSMUSG00000106539.1	1767
ENSMUSG00000105771.1	3113
ENSMUSG00000083477.2	1111
ENSMUSG00000105540.1	2297
ENSMUSG00000104634.1	1150
ENSMUSG00000029090.10	8113
ENSMUSG00000106430.1	2567
ENSMUSG00000104870.1	736
ENSMUSG00000105020.1	1323
ENSMUSG00000099124.1	107
ENSMUSG00000095857.1	107
ENSMUSG00000105423.2	2092
ENSMUSG00000106345.1	742
ENSMUSG00000105320.1	3150
ENSMUSG00000106038.1	2977
ENSMUSG00000105931.1	2443
ENSMUSG00000105273.1	565
ENSMUSG00000106267.1	481
ENSMUSG00000104635.1	87
ENSMUSG00000029167.11	6592
ENSMUSG00000105442.1	1554
ENSMUSG00000105622.1	1820
ENSMUSG00000106575.1	1931
ENSMUSG00000105762.1	3426
ENSMUSG00000105663.1	3556
ENSMUSG00000106010.1	4184
ENSMUSG00000104919.1	1229
ENSMUSG00000105942.1	3810
ENSMUSG00000106292.1	2445
ENSMUSG00000104847.1	1107
ENSMUSG00000098726.1	116
ENSMUSG00000106648.1	2989
ENSMUSG00000029169.9	8496
ENSMUSG00000106607.1	1386
ENSMUSG00000097145.3	2762
ENSMUSG00000106464.1	2072
ENSMUSG00000105328.1	2886
ENSMUSG00000104751.1	275
ENSMUSG00000088981.1	105
ENSMUSG00000072941.5	3738
ENSMUSG00000045790.7	3295
ENSMUSG00000106380.1	1676
ENSMUSG00000039252.9	6528
ENSMUSG00000104829.1	706
ENSMUSG00000104974.1	2439
ENSMUSG00000095078.2	973
ENSMUSG00000052295.4	2851
ENSMUSG00000029173.10	6982
ENSMUSG00000029186.10	3760
ENSMUSG00000029179.12	10897
ENSMUSG00000029176.11	6081
ENSMUSG00000105054.1	734
ENSMUSG00000077757.1	112
ENSMUSG00000106352.2	1048
ENSMUSG00000106538.1	652
ENSMUSG00000029188.12	5013
ENSMUSG00000090642.2	860
ENSMUSG00000029189.8	9850
ENSMUSG00000077316.1	79
ENSMUSG00000061461.9	953
ENSMUSG00000106981.1	1700
ENSMUSG00000077696.1	114
ENSMUSG00000106808.1	193
ENSMUSG00000088646.1	110
ENSMUSG00000039191.10	12750
ENSMUSG00000106807.1	1546
ENSMUSG00000107111.1	268
ENSMUSG00000029193.5	3682
ENSMUSG00000039178.7	3117
ENSMUSG00000107182.1	4055
ENSMUSG00000107173.1	1771
ENSMUSG00000039156.17	5133
ENSMUSG00000107105.1	728
ENSMUSG00000105912.1	2753
ENSMUSG00000106529.1	1719
ENSMUSG00000105143.1	154
ENSMUSG00000106126.1	2681
ENSMUSG00000077507.1	129
ENSMUSG00000106113.1	829
ENSMUSG00000065795.1	162
ENSMUSG00000105702.1	3600
ENSMUSG00000105384.1	706
ENSMUSG00000105551.1	307
ENSMUSG00000083902.2	1402
ENSMUSG00000105186.1	199
ENSMUSG00000106335.1	805
ENSMUSG00000105678.1	3717
ENSMUSG00000105685.1	313
ENSMUSG00000106326.1	144
ENSMUSG00000088734.1	130
ENSMUSG00000088751.1	123
ENSMUSG00000077333.1	128
ENSMUSG00000104739.1	1350
ENSMUSG00000104560.1	736
ENSMUSG00000105291.1	1444
ENSMUSG00000105693.1	2652
ENSMUSG00000104892.1	631
ENSMUSG00000097216.3	4716
ENSMUSG00000051116.6	499
ENSMUSG00000104924.1	155
ENSMUSG00000106517.1	381
ENSMUSG00000029108.12	10604
ENSMUSG00000105940.1	2571
ENSMUSG00000104821.1	2178
ENSMUSG00000105637.1	2595
ENSMUSG00000105050.1	1947
ENSMUSG00000104564.1	574
ENSMUSG00000105079.1	2715
ENSMUSG00000105877.1	1356
ENSMUSG00000106337.1	1467
ENSMUSG00000104871.1	1871
ENSMUSG00000105431.1	1195
ENSMUSG00000104709.1	2104
ENSMUSG00000103959.2	1241
ENSMUSG00000106646.1	1742
ENSMUSG00000105049.1	3486
ENSMUSG00000105525.1	222
ENSMUSG00000106146.1	2095
ENSMUSG00000105269.1	786
ENSMUSG00000088796.1	134
ENSMUSG00000105234.1	420
ENSMUSG00000100557.1	757
ENSMUSG00000106509.1	694
ENSMUSG00000094696.1	954
ENSMUSG00000106467.1	2240
ENSMUSG00000096124.1	107
ENSMUSG00000105038.1	379
ENSMUSG00000106634.1	1820
ENSMUSG00000104889.1	412
ENSMUSG00000104563.1	2630
ENSMUSG00000106013.2	1178
ENSMUSG00000105158.1	2621
ENSMUSG00000106250.1	434
ENSMUSG00000106170.1	194
ENSMUSG00000106042.1	634
ENSMUSG00000087034.4	730
ENSMUSG00000088048.1	108
ENSMUSG00000106548.1	421
ENSMUSG00000105486.1	1792
ENSMUSG00000077555.1	123
ENSMUSG00000106044.2	3991
ENSMUSG00000104775.1	769
ENSMUSG00000105903.1	197
ENSMUSG00000106370.2	838
ENSMUSG00000105675.1	469
ENSMUSG00000105573.2	637
ENSMUSG00000089992.3	2348
ENSMUSG00000106530.2	616
ENSMUSG00000077228.1	132
ENSMUSG00000105285.1	359
ENSMUSG00000094239.1	132
ENSMUSG00000037999.13	12451
ENSMUSG00000105694.1	1044
ENSMUSG00000105707.1	3309
ENSMUSG00000090326.1	2427
ENSMUSG00000104868.1	4725
ENSMUSG00000090061.7	10428
ENSMUSG00000090138.2	460
ENSMUSG00000060512.5	2403
ENSMUSG00000047881.12	3856
ENSMUSG00000087552.2	481
ENSMUSG00000106076.1	484
ENSMUSG00000077209.1	132
ENSMUSG00000106219.1	2627
ENSMUSG00000029171.10	2590
ENSMUSG00000094244.1	78
ENSMUSG00000093780.1	96
ENSMUSG00000087954.1	134
ENSMUSG00000029174.16	7405
ENSMUSG00000083435.2	955
ENSMUSG00000104947.1	2313
ENSMUSG00000081143.2	670
ENSMUSG00000083100.1	499
ENSMUSG00000105730.1	348
ENSMUSG00000105443.1	668
ENSMUSG00000105105.1	541
ENSMUSG00000100911.2	767
ENSMUSG00000105251.1	954
ENSMUSG00000105352.2	1522
ENSMUSG00000106566.1	381
ENSMUSG00000104961.1	149
ENSMUSG00000104806.1	643
ENSMUSG00000105402.2	3136
ENSMUSG00000105183.1	582
ENSMUSG00000104928.1	572
ENSMUSG00000093029.1	117
ENSMUSG00000097668.2	2192
ENSMUSG00000097640.5	3124
ENSMUSG00000029178.12	11243
ENSMUSG00000106205.1	1722
ENSMUSG00000044827.8	3346
ENSMUSG00000051498.6	3727
ENSMUSG00000029185.12	2976
ENSMUSG00000077042.2	78
ENSMUSG00000106186.1	2299
ENSMUSG00000037913.10	864
ENSMUSG00000054920.10	3406
ENSMUSG00000087748.1	119
ENSMUSG00000037890.11	4403
ENSMUSG00000029191.14	4719
ENSMUSG00000105935.1	1187
ENSMUSG00000029195.9	3457
ENSMUSG00000047215.12	3081
ENSMUSG00000029199.9	4570
ENSMUSG00000106291.1	767
ENSMUSG00000105896.1	2377
ENSMUSG00000029201.12	6752
ENSMUSG00000105835.1	365
ENSMUSG00000104917.1	1475
ENSMUSG00000037822.10	15976
ENSMUSG00000104641.1	1557
ENSMUSG00000107195.1	920
ENSMUSG00000105601.1	4193
ENSMUSG00000029203.14	7892
ENSMUSG00000107362.1	1752
ENSMUSG00000107102.1	1286
ENSMUSG00000029202.10	19335
ENSMUSG00000106767.1	2823
ENSMUSG00000106696.1	2930
ENSMUSG00000088494.1	74
ENSMUSG00000107158.1	1552
ENSMUSG00000107050.1	2331
ENSMUSG00000106978.1	2611
ENSMUSG00000037795.12	14946
ENSMUSG00000089337.1	194
ENSMUSG00000106682.1	2505
ENSMUSG00000106713.1	1627
ENSMUSG00000106776.1	914
ENSMUSG00000106681.1	703
ENSMUSG00000029204.5	10341
ENSMUSG00000107254.1	4323
ENSMUSG00000029205.10	3026
ENSMUSG00000106768.1	901
ENSMUSG00000107049.1	1578
ENSMUSG00000054598.11	7830
ENSMUSG00000093070.1	74
ENSMUSG00000070780.9	7163
ENSMUSG00000107304.1	3395
ENSMUSG00000107390.1	4258
ENSMUSG00000097092.2	1113
ENSMUSG00000093258.1	107
ENSMUSG00000107014.1	405
ENSMUSG00000107069.1	379
ENSMUSG00000084108.2	631
ENSMUSG00000107125.1	2935
ENSMUSG00000029206.11	5388
ENSMUSG00000029207.14	10966
ENSMUSG00000106818.1	2013
ENSMUSG00000084544.1	323
ENSMUSG00000107155.1	1333
ENSMUSG00000106910.1	268
ENSMUSG00000106732.1	2210
ENSMUSG00000106772.1	692
ENSMUSG00000107091.1	1926
ENSMUSG00000106720.1	2366
ENSMUSG00000106706.1	3109
ENSMUSG00000087601.3	2190
ENSMUSG00000029223.10	1632
ENSMUSG00000107300.1	2512
ENSMUSG00000107284.1	1550
ENSMUSG00000037736.16	10263
ENSMUSG00000082420.2	511
ENSMUSG00000106749.1	2704
ENSMUSG00000107290.1	2157
ENSMUSG00000085839.1	126
ENSMUSG00000086964.1	403
ENSMUSG00000106785.1	945
ENSMUSG00000080601.1	114
ENSMUSG00000012520.10	3645
ENSMUSG00000106995.1	2643
ENSMUSG00000107319.1	1292
ENSMUSG00000037720.14	8961
ENSMUSG00000029221.13	12374
ENSMUSG00000107266.1	703
ENSMUSG00000092060.2	9886
ENSMUSG00000097840.1	1294
ENSMUSG00000106832.1	2411
ENSMUSG00000106925.1	292
ENSMUSG00000107385.1	4070
ENSMUSG00000106947.1	609
ENSMUSG00000050010.8	4754
ENSMUSG00000037685.13	14278
ENSMUSG00000094435.1	95
ENSMUSG00000107041.1	1646
ENSMUSG00000085363.1	2172
ENSMUSG00000106859.1	1755
ENSMUSG00000106837.1	3479
ENSMUSG00000107136.1	1301
ENSMUSG00000087261.2	4302
ENSMUSG00000107206.1	1353
ENSMUSG00000095346.1	87
ENSMUSG00000106880.1	745
ENSMUSG00000094719.2	543
ENSMUSG00000106897.1	3691
ENSMUSG00000107257.1	481
ENSMUSG00000068082.12	1071
ENSMUSG00000106747.1	1886
ENSMUSG00000107289.1	325
ENSMUSG00000087880.1	127
ENSMUSG00000106854.1	201
ENSMUSG00000107117.1	2982
ENSMUSG00000037653.7	3373
ENSMUSG00000107208.1	1577
ENSMUSG00000107234.1	1031
ENSMUSG00000107363.1	2870
ENSMUSG00000106673.1	2391
ENSMUSG00000106753.1	2129
ENSMUSG00000107312.1	1850
ENSMUSG00000107148.1	4361
ENSMUSG00000093129.1	106
ENSMUSG00000096290.1	107
ENSMUSG00000043484.3	592
ENSMUSG00000106986.1	1119
ENSMUSG00000029158.7	1219
ENSMUSG00000107291.1	326
ENSMUSG00000029208.14	10372
ENSMUSG00000029209.13	6862
ENSMUSG00000080566.1	126
ENSMUSG00000084579.1	87
ENSMUSG00000106284.1	284
ENSMUSG00000088863.1	62
ENSMUSG00000094803.1	107
ENSMUSG00000106613.1	614
ENSMUSG00000106549.1	2839
ENSMUSG00000001260.8	7869
ENSMUSG00000000560.7	7640
ENSMUSG00000049387.7	542
ENSMUSG00000029211.9	6083
ENSMUSG00000029212.9	13838
ENSMUSG00000105489.1	1126
ENSMUSG00000080736.1	771
ENSMUSG00000082705.1	375
ENSMUSG00000029213.9	4107
ENSMUSG00000105016.1	472
ENSMUSG00000046808.15	7848
ENSMUSG00000005220.8	5400
ENSMUSG00000089195.1	98
ENSMUSG00000093400.1	857
ENSMUSG00000093644.1	514
ENSMUSG00000095112.1	107
ENSMUSG00000093771.1	387
ENSMUSG00000072889.7	8307
ENSMUSG00000105510.1	990
ENSMUSG00000105865.2	259
ENSMUSG00000063935.3	3465
ENSMUSG00000060204.5	1382
ENSMUSG00000067220.10	6327
ENSMUSG00000105124.2	1171
ENSMUSG00000106136.2	729
ENSMUSG00000067219.7	4393
ENSMUSG00000054892.12	10955
ENSMUSG00000105089.2	310
ENSMUSG00000029217.14	3744
ENSMUSG00000106739.1	2107
ENSMUSG00000052154.4	2356
ENSMUSG00000036087.16	8446
ENSMUSG00000063656.6	252
ENSMUSG00000088268.1	86
ENSMUSG00000029219.8	2106
ENSMUSG00000081849.2	1065
ENSMUSG00000107373.1	2487
ENSMUSG00000070733.11	15192
ENSMUSG00000107171.1	3378
ENSMUSG00000086376.2	367
ENSMUSG00000107109.1	2464
ENSMUSG00000090561.2	645
ENSMUSG00000107087.1	280
ENSMUSG00000100175.4	772
ENSMUSG00000106999.1	878
ENSMUSG00000029152.11	5515
ENSMUSG00000107292.1	519
ENSMUSG00000107331.1	1197
ENSMUSG00000029153.9	2722
ENSMUSG00000107272.1	939
ENSMUSG00000106958.1	767
ENSMUSG00000029154.11	2915
ENSMUSG00000106675.1	394
ENSMUSG00000082039.2	907
ENSMUSG00000051674.12	5807
ENSMUSG00000067206.3	3238
ENSMUSG00000029156.11	4052
ENSMUSG00000106773.1	579
ENSMUSG00000029155.14	2107
ENSMUSG00000107027.1	533
ENSMUSG00000106968.1	848
ENSMUSG00000054814.12	7841
ENSMUSG00000087250.2	508
ENSMUSG00000086234.3	967
ENSMUSG00000106993.1	5207
ENSMUSG00000106973.1	750
ENSMUSG00000107255.1	1015
ENSMUSG00000106943.1	2347
ENSMUSG00000053656.6	1043
ENSMUSG00000093355.1	121
ENSMUSG00000106735.1	3890
ENSMUSG00000049907.8	2161
ENSMUSG00000062110.12	8196
ENSMUSG00000107209.1	469
ENSMUSG00000080700.2	457
ENSMUSG00000084132.2	554
ENSMUSG00000107009.1	2753
ENSMUSG00000106992.1	1606
ENSMUSG00000029227.13	13122
ENSMUSG00000107165.1	1330
ENSMUSG00000029228.13	3829
ENSMUSG00000085657.5	1559
ENSMUSG00000085497.2	343
ENSMUSG00000106987.1	1674
ENSMUSG00000106806.1	901
ENSMUSG00000072874.4	1437
ENSMUSG00000107306.1	3211
ENSMUSG00000029229.8	9750
ENSMUSG00000107205.1	2846
ENSMUSG00000107162.1	1139
ENSMUSG00000035946.7	1665
ENSMUSG00000106900.1	289
ENSMUSG00000107192.1	1366
ENSMUSG00000107258.1	226
ENSMUSG00000029231.13	10024
ENSMUSG00000106760.1	456
ENSMUSG00000107245.1	451
ENSMUSG00000099060.1	74
ENSMUSG00000106704.1	328
ENSMUSG00000106689.1	1390
ENSMUSG00000088210.1	105
ENSMUSG00000107386.1	733
ENSMUSG00000089078.1	105
ENSMUSG00000005672.10	8911
ENSMUSG00000106754.1	622
ENSMUSG00000107251.1	2324
ENSMUSG00000106726.1	674
ENSMUSG00000107061.1	1195
ENSMUSG00000103684.1	395
ENSMUSG00000100936.1	723
ENSMUSG00000088783.1	101
ENSMUSG00000062960.8	9030
ENSMUSG00000089481.1	123
ENSMUSG00000106756.1	540
ENSMUSG00000107020.1	352
ENSMUSG00000029233.13	4648
ENSMUSG00000029234.11	2588
ENSMUSG00000083152.1	470
ENSMUSG00000029238.9	13727
ENSMUSG00000106831.1	459
ENSMUSG00000106815.1	4176
ENSMUSG00000098449.1	652
ENSMUSG00000029235.12	1193
ENSMUSG00000087037.1	1608
ENSMUSG00000029236.4	828
ENSMUSG00000107160.1	152
ENSMUSG00000106982.1	586
ENSMUSG00000091204.5	815
ENSMUSG00000036435.11	12042
ENSMUSG00000036403.13	7188
ENSMUSG00000103529.1	2427
ENSMUSG00000036377.16	12305
ENSMUSG00000083874.1	441
ENSMUSG00000055923.14	8639
ENSMUSG00000029246.12	4421
ENSMUSG00000072852.3	791
ENSMUSG00000029247.15	3139
ENSMUSG00000036323.12	5717
ENSMUSG00000063820.9	597
ENSMUSG00000086632.1	793
ENSMUSG00000029248.12	2243
ENSMUSG00000059325.12	1516
ENSMUSG00000087541.1	1661
ENSMUSG00000085858.1	516
ENSMUSG00000106783.1	651
ENSMUSG00000053030.9	788
ENSMUSG00000107034.1	421
ENSMUSG00000029249.13	7222
ENSMUSG00000093061.1	82
ENSMUSG00000036285.10	4029
ENSMUSG00000029250.5	4667
ENSMUSG00000107238.1	283
ENSMUSG00000036256.11	1209
ENSMUSG00000106828.1	338
ENSMUSG00000106906.1	414
ENSMUSG00000107232.1	558
ENSMUSG00000106985.1	738
ENSMUSG00000047652.4	571
ENSMUSG00000089415.1	123
ENSMUSG00000106996.1	1302
ENSMUSG00000106960.1	337
ENSMUSG00000044058.8	601
ENSMUSG00000107309.1	364
ENSMUSG00000077178.1	136
ENSMUSG00000107308.1	18
ENSMUSG00000107183.1	1111
ENSMUSG00000088422.1	295
ENSMUSG00000084435.1	149
ENSMUSG00000095594.1	107
ENSMUSG00000065235.1	103
ENSMUSG00000083829.1	874
ENSMUSG00000037605.14	17750
ENSMUSG00000107226.1	3442
ENSMUSG00000107375.1	947
ENSMUSG00000106611.1	89
ENSMUSG00000087431.1	1819
ENSMUSG00000106746.1	1008
ENSMUSG00000106860.1	1684
ENSMUSG00000099863.1	960
ENSMUSG00000106926.1	799
ENSMUSG00000080586.1	122
ENSMUSG00000089162.1	97
ENSMUSG00000106606.1	367
ENSMUSG00000049537.8	2350
ENSMUSG00000081822.1	868
ENSMUSG00000104537.1	83
ENSMUSG00000077288.1	132
ENSMUSG00000084731.1	122
ENSMUSG00000077474.1	128
ENSMUSG00000106576.1	589
ENSMUSG00000029245.14	16739
ENSMUSG00000079067.5	279
ENSMUSG00000106598.1	3816
ENSMUSG00000105658.1	1114
ENSMUSG00000106389.1	667
ENSMUSG00000104878.1	1978
ENSMUSG00000064555.1	161
ENSMUSG00000106225.1	211
ENSMUSG00000029253.10	5634
ENSMUSG00000106282.1	1139
ENSMUSG00000029254.14	6215
ENSMUSG00000064859.1	170
ENSMUSG00000035898.11	8159
ENSMUSG00000029255.8	3197
ENSMUSG00000061184.6	1615
ENSMUSG00000094833.1	107
ENSMUSG00000061259.9	2796
ENSMUSG00000072845.3	5715
ENSMUSG00000079451.7	5015
ENSMUSG00000048764.14	6807
ENSMUSG00000035861.6	4171
ENSMUSG00000106507.1	2791
ENSMUSG00000054537.8	3416
ENSMUSG00000089851.1	2566
ENSMUSG00000105704.1	879
ENSMUSG00000104937.1	429
ENSMUSG00000035851.12	13651
ENSMUSG00000105309.1	863
ENSMUSG00000029260.13	4312
ENSMUSG00000096303.1	107
ENSMUSG00000035836.2	2573
ENSMUSG00000075983.1	106
ENSMUSG00000104798.1	1594
ENSMUSG00000106185.1	1100
ENSMUSG00000104802.1	1257
ENSMUSG00000035811.10	3359
ENSMUSG00000105315.1	1060
ENSMUSG00000106003.1	492
ENSMUSG00000070704.8	2059
ENSMUSG00000105625.1	785
ENSMUSG00000106502.1	76
ENSMUSG00000054630.7	1858
ENSMUSG00000106111.1	1062
ENSMUSG00000106330.1	1552
ENSMUSG00000105240.1	580
ENSMUSG00000057425.3	1894
ENSMUSG00000105897.1	1346
ENSMUSG00000035780.2	2117
ENSMUSG00000106303.1	1151
ENSMUSG00000105192.1	1087
ENSMUSG00000104664.1	681
ENSMUSG00000106397.1	987
ENSMUSG00000106132.1	284
ENSMUSG00000061906.5	1891
ENSMUSG00000029268.12	2541
ENSMUSG00000106677.1	2570
ENSMUSG00000107180.1	2297
ENSMUSG00000029269.9	2780
ENSMUSG00000029273.10	2459
